Año,Cuatrimestre,Materia,Comision,Horario,Profesores,Inscriptos
2010,Primer Cuat.,61.19 - Costos Industriales,B,Martes 19:00 - 22:00 Aula externa: 11,"['Piantanida', ' Horacio\nCrocci', ' Luis Carlos\nCoccolo', ' Pablo Bartolome\nIgarreta', ' Ramon Santiago\nPose', ' Eduardo Francisco']",28 / 35
2010,Primer Cuat.,14.05 - Creatividad (Seminario - 03/05/2010 - 28/05/2010),A,Viernes 18:00 - 21:00 Aula externa: 125,[''],21 / 12
2010,Primer Cuat.,72.24 - Criptografia y Seguridad,S,Lunes 08:00 - 09:00 Aula externa: MISMO HORARIO QUE 7244,"['Abad', ' Pablo Eduardo\nArias Roig', ' Ana Maria']",3 / Ilimitado
2010,Primer Cuat.,72.44 - Criptografía y Seguridad,S,"Lunes 19:00 - 22:00 Aula externa: LAB INF
Miércoles 19:00 - 22:00 Aula externa: 30","['Abad', ' Pablo Eduardo\nArias Roig', ' Ana Maria']",16 / Ilimitado
2010,Primer Cuat.,31.96 - Deformación y Fractura de Materiales,M,Lunes 15:00 - 18:00 Aula externa: 125,"['Svoboda', ' Hernan Gabriel']",14 / Ilimitado
2010,Primer Cuat.,61.31 - Derecho para Ingenieros,A,Lunes 16:00 - 19:00 Aula externa: 32,"['Cabezali', ' Alvaro Santiago\nPerego', ' Pablo Alejandro\nMartín', ' Carolina Elena']",39 / 30
2010,Primer Cuat.,61.31 - Derecho para Ingenieros,B,Viernes 15:00 - 18:00 Aula externa: 30,"['Cabezali', ' Alvaro Santiago\nPerego', ' Pablo Alejandro\nMartín', ' Carolina Elena']",17 / 30
2010,Primer Cuat.,61.31 - Derecho para Ingenieros,C,Miércoles 12:00 - 15:00 Aula externa: 25,"['Cabezali', ' Alvaro Santiago\nPerego', ' Pablo Alejandro\nMartín', ' Carolina Elena']",40 / 30
2010,Primer Cuat.,61.90 - Derecho Público y Privado,L,Miércoles 15:00 - 18:00 Aula externa: 135,"['Cabezali', ' Alvaro Santiago\nPerego', ' Pablo Alejandro']",28 / Ilimitado
2010,Primer Cuat.,41.26 - Desarrollo de Yacimientos (Anual - 01/03/2010 - 31/12/2010),P,Viernes 13:00 - 16:00 Aula externa: 104,"['Fernandez Betria', ' Nestor Javier\nIguacel', ' Javier Alfredo\nPeroni Martin', ' Gustavo Oscar\nZiperovich', ' Nicolas Martin\nShiratori', ' Julio Alfredo\nRegazzoni', ' Carin Helvecio']",19 / Ilimitado
2010,Primer Cuat.,14.23 - Diagnóstico del Riesgo Operativo (Seminario - 15/03/2010 - 09/04/2010),A,Viernes 15:00 - 18:00 Aula externa: 154,"['Belinco', ' César Gustavo']",15 / 15
2010,Primer Cuat.,11.58 - Dinámica de Sistemas,A,Miércoles 19:00 - 22:00 Aula externa: 130,"['ARAKAKI', ' GASTÓN NICOLAS\nBarreira-goñi', ' María Florencia\nAgres', ' Andres Basilio\nMedinger', ' Martin Diego\nSzulanski', ' Fabián Horacio\nMur', ' Sebastián Matías\nPagano Gutierrez', ' Rodolfo Matias\nDolega Zakrzewski', ' Carlos Manuel']",34 / 35
2010,Primer Cuat.,11.58 - Dinámica de Sistemas,B,Miércoles 19:00 - 22:00 Aula externa: 133,"['ARAKAKI', ' GASTÓN NICOLAS\nBarreira-goñi', ' María Florencia\nAgres', ' Andres Basilio\nMedinger', ' Martin Diego\nSzulanski', ' Fabián Horacio\nMur', ' Sebastián Matías\nPagano Gutierrez', ' Rodolfo Matias\nDolega Zakrzewski', ' Carlos Manuel']",34 / 35
2010,Primer Cuat.,11.71 - Dinámica de Sistemas II,A,Viernes 16:00 - 19:00 Aula externa: LAB C,"['Szulanski', ' Fabián Horacio']",7 / 25
2010,Primer Cuat.,12.85 - Diseño Conceptual de Procesos,Q,Miércoles 18:00 - 22:00 Aula externa: LAB SIMULACION,"['SEGURA PABLO MARTIN', ' PABLO MARTIN\nGanc', ' Esteban Andres\nFernandez', ' Beatriz Ethel']",15 / Ilimitado
2010,Primer Cuat.,32.59 - Diseño de Embarcaciones de Trabajo,N,"Lunes 18:00 - 21:00 Aula externa: 22
Martes 18:00 - 21:00 Aula externa: 132",[''],1 / Ilimitado
2010,Primer Cuat.,22.31 - Diseño de Equipos Electrónicos (Anual) (Anual - 01/03/2010 - 31/12/2010),K,Miércoles 19:00 - 22:00 Aula externa: 13,"['Pingitore', ' Ricardo Alejandro\nMuñoz', ' Claudio Marcelo\nPupillo', ' Esteban Gabriel']",17 / Ilimitado
2010,Primer Cuat.,21.86 - Diseño de Líneas de Transmisión y Estaciones Transformadoras,E,"Lunes 18:30 - 21:30 Aula externa: 12
Viernes 18:30 - 21:30 Aula externa: 121","['Donadon', ' Alejandro Luis\nSirabonian', ' Norberto Ildo']",1 / Ilimitado
2010,Primer Cuat.,11.14 - Diseño de Producto,A,Jueves 19:00 - 22:00 Aula externa: 126,[''],24 / 25
2010,Primer Cuat.,31.20 - Diseño Mecánico,M,"Lunes 09:00 - 12:00 Aula externa: 111
Miércoles 14:00 - 17:00 Aula externa: LAB A","[""D''Hers"", ' Sebastián\nZubiri', ' Juan Ignacio\nLehrke', ' Christian Alexander']",32 / Ilimitado
2010,Primer Cuat.,72.32 - Diseño y Procesamiento de Documentos XML,S,Martes 14:00 - 17:00 Aula externa: 123,"['Baños', ' Gabriel Victor\nYoshizaki', ' Gustavo\nGomez', ' Silvia Alicia']",22 / Ilimitado
